koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
CONFIRMED,1.0,7969.0,799.7,1.625522174,2.38963,9.73,1.106,15.001,1579.0
CANDIDATE,1.0,21725.0,340.5,19.620346923,2.0038,13.6,0.905,15.562,643.0
FALSE POSITIVE,0.0,322.6,14.2,7.544039,6.222,17.47,0.824,15.559,838.0
CONFIRMED,1.0,1019.8,53.9,9.02930689,3.1449,2.57,0.82,15.387,757.0
FALSE POSITIVE,0.053,16918.0,636.8,10.328035714,7.7915,13.28,1.024,15.646,843.0
CONFIRMED,1.0,10566.0,138.8,143.2063047,8.9302,8.9,0.867,15.403,308.0
CONFIRMED,0.95,55.8,14.4,6.164876,3.262,0.79,1.012,12.882,1021.0
CONFIRMED,0.745,20280.0,347.2,60.32494216,6.6188,12.19,0.867,15.403,411.0
CONFIRMED,,488.0,11.6,29.1598615,4.803,1.91,0.867,15.403,524.0
FALSE POSITIVE,0.0,816.1,38.8,1.540397253,2.1541,25.69,0.915,15.974,1470.0
FALSE POSITIVE,0.0,589.2,48.5,2.99025443,5.414,1.7,0.731,15.842,918.0
CONFIRMED,1.0,15044.0,1009.3,1.594745374,1.9604,11.3,0.893,15.53,1539.0
CONFIRMED,1.0,1008.7,70.6,4.783002698,2.335,2.5,0.807,15.119,886.0
CONFIRMED,1.0,2105.5,78.5,20.50588921,4.0595,3.41,0.761,15.398,518.0
CONFIRMED,1.0,1632.6,71.6,3.340218842,1.9104,2.03,0.493,15.954,656.0
FALSE POSITIVE,0.0,1339.2,64.9,2.507089906,2.0067,30.26,0.939,15.555,1326.0
CONFIRMED,1.0,893.6,46.1,18.64932728,4.4056,3.12,1.053,15.386,701.0
CONFIRMED,1.0,140.7,50.6,4.90144976,4.1654,1.7,1.402,12.487,1262.0
CONFIRMED,0.998,418.0,28.5,9.75192101,4.793,2.76,1.053,15.386,870.0
CONFIRMED,1.0,993.0,39.7,38.5576546,5.794,4.02,1.053,15.386,550.0
CONFIRMED,0.99,22335.0,1996.7,3.525632539,2.59959,11.58,0.793,15.224,975.0
CANDIDATE,1.0,4523.6,76.8,34.84398644,2.9315,7.61,0.871,15.684,511.0
CONFIRMED,1.0,2472.1,113.2,7.748094239,3.5957,5.52,1.085,15.67,964.0
CONFIRMED,1.0,1182.3,27.5,23.96793669,3.827,1.8,0.524,15.414,329.0
CONFIRMED,0.995,824.3,17.9,8.29561738,1.3421,1.82,0.524,15.414,469.0
CONFIRMED,1.0,1558.0,56.4,8.11437482,2.2736,2.1,0.517,15.877,460.0
FALSE POSITIVE,0.0,82872.0,1300.0,38.036729482,4.34617,27.5,0.932,15.472,500.0
CANDIDATE,0.0,2450.6,296.9,4.64090031,35.512,30.09,0.826,15.27,1155.0
